Idopont,CPU_szazalek,RAM_GB,GPU_szazalek,VRAM_GB,GPU_Watt,GPU_Celsius
19:00:01,50.2,16.47,16,11.38,39.8,45
19:00:02,50.2,16.47,16,11.38,40.5,45
19:00:03,50.4,16.47,16,11.38,39.8,46
19:00:04,50.2,16.47,16,11.38,40.6,46
19:00:05,50.1,16.47,16,11.38,39.9,46
19:00:06,50.3,16.47,16,11.38,40.7,46
19:00:07,50.1,16.47,16,11.38,40.1,46
19:00:08,50.3,16.47,16,11.38,40.6,46
19:00:09,50.1,16.47,16,11.38,40.1,46
19:00:10,50.1,16.47,16,11.38,39.3,46
19:00:11,50.2,16.47,16,11.38,39.6,46
19:00:12,50.0,16.47,16,11.38,40.0,46
19:00:13,50.2,16.47,16,11.38,39.2,46
19:00:14,50.1,16.47,16,11.38,39.1,46
19:00:15,50.2,16.47,16,11.38,40.1,46
19:00:16,50.1,16.47,16,11.38,39.3,47
19:00:17,50.2,16.47,11,11.38,40.1,49
19:00:18,50.1,16.47,11,11.38,40.0,49
19:00:19,50.1,16.47,10,11.38,40.6,49
19:00:20,50.1,16.47,8,11.38,40.1,48
19:00:21,50.2,16.47,8,11.38,41.0,46
19:00:22,28.5,16.47,0,11.38,32.9,45
19:00:23,0.1,16.47,0,11.38,17.7,45
19:00:24,0.1,16.47,0,11.38,17.7,45
19:00:25,46.5,16.50,0,11.38,16.7,45
19:00:26,38.3,16.08,1,11.38,19.9,48
19:00:27,41.4,16.50,9,11.38,86.7,47
19:00:28,50.2,16.49,8,11.38,46.8,47
19:00:29,50.1,16.49,14,11.38,42.5,48
19:00:30,50.1,16.49,15,11.38,40.4,47
19:00:31,50.2,16.49,15,11.38,39.9,46
19:00:32,50.0,16.49,8,11.38,41.3,46
19:00:33,50.2,16.49,8,11.38,39.4,46
19:00:34,50.2,16.49,8,11.38,39.9,46
19:00:35,50.1,16.49,8,11.38,39.7,46
19:00:36,50.2,16.49,9,11.38,40.5,49
19:00:37,50.1,16.49,16,11.38,39.9,48
19:00:38,50.2,16.49,15,11.38,39.7,47
19:00:39,50.1,16.49,15,11.38,39.9,47
19:00:40,50.2,16.49,15,11.38,39.4,47
19:00:41,50.3,16.49,9,11.39,40.0,47
19:00:42,50.2,16.49,8,11.39,41.2,47
19:00:43,50.2,16.49,8,11.39,40.8,47
19:00:44,50.2,16.49,8,11.39,39.9,47
19:00:45,50.1,16.49,8,11.39,40.6,49
19:00:46,50.1,16.49,16,11.39,40.4,48
19:00:47,50.1,16.49,15,11.39,39.9,48
19:00:48,50.3,16.49,15,11.39,40.4,47
19:00:49,50.1,16.49,16,11.39,39.5,47
19:00:50,50.1,16.49,16,11.39,40.3,47
19:00:51,50.2,16.49,16,11.39,39.5,47
19:00:52,50.1,16.49,16,11.39,39.8,47
19:00:53,50.1,16.49,16,11.39,40.7,47
19:00:54,50.2,16.49,16,11.39,40.2,47
19:00:55,50.1,16.49,16,11.39,39.4,47
19:00:56,50.1,16.49,16,11.39,39.5,48
19:00:57,50.2,16.49,16,11.39,40.5,48
19:00:58,50.2,16.49,16,11.39,40.7,48
19:00:59,50.1,16.49,15,11.39,40.1,48
19:01:00,50.1,16.49,9,11.39,40.9,48
19:01:01,50.2,16.49,14,11.39,40.1,48
19:01:02,50.2,16.49,10,11.39,40.2,48
19:01:03,50.2,16.49,16,11.39,41.0,48
19:01:04,50.1,16.49,8,11.39,40.3,48
19:01:05,50.2,16.49,8,11.39,41.1,48
19:01:06,50.1,16.49,8,11.39,40.8,48
19:01:07,50.2,16.49,8,11.39,40.3,48
19:01:08,50.2,16.49,8,11.39,39.7,48
19:01:09,50.1,16.49,8,11.39,40.5,48
19:01:10,50.3,16.49,8,11.39,40.0,48
19:01:11,50.2,16.49,8,11.39,40.1,49
19:01:12,50.1,16.49,10,11.39,40.8,50
19:01:13,50.2,16.49,16,11.39,41.7,49
19:01:14,50.2,16.49,16,11.39,41.6,48
19:01:15,50.1,16.49,16,11.39,41.2,48
19:01:16,50.2,16.49,13,11.39,39.6,48
19:01:17,34.2,16.49,0,11.39,35.9,47
19:01:18,0.0,16.49,0,11.39,19.8,47
19:01:19,6.4,16.49,0,11.39,17.1,47
19:01:20,50.1,16.51,0,11.39,17.7,47
19:01:21,36.6,16.11,82,11.39,25.1,50
19:01:22,42.4,16.55,15,11.39,88.6,49
19:01:23,50.2,16.55,15,11.39,47.3,51
19:01:24,50.2,16.55,8,11.39,43.3,49
19:01:25,50.2,16.55,8,11.39,41.0,49
19:01:26,50.2,16.55,12,11.39,40.2,48
19:01:27,50.1,16.55,16,11.39,42.3,48
19:01:28,50.2,16.54,15,11.39,41.5,48
19:01:29,50.1,16.54,15,11.39,40.6,48
19:01:30,50.1,16.54,15,11.39,41.4,51
19:01:31,50.2,16.54,9,11.39,40.7,50
19:01:32,50.1,16.54,8,11.39,40.6,49
19:01:33,50.2,16.54,8,11.39,40.8,49
19:01:34,50.1,16.54,8,11.39,39.9,49
19:01:35,50.1,16.54,13,11.39,40.6,49
19:01:36,50.3,16.54,16,11.39,40.7,49
19:01:37,50.2,16.54,15,11.39,41.1,49
19:01:38,50.2,16.54,15,11.39,40.6,49
19:01:39,50.2,16.54,15,11.39,41.7,52
19:01:40,50.1,16.54,10,11.39,41.7,51
19:01:41,50.1,16.54,10,11.39,41.2,51
19:01:42,50.2,16.54,8,11.39,41.0,50
19:01:43,50.1,16.53,8,11.39,40.8,49
19:01:44,50.2,16.54,8,11.39,41.5,49
19:01:45,50.1,16.54,8,11.39,41.4,49
19:01:46,50.1,16.53,8,11.39,40.9,49
19:01:47,50.1,16.53,8,11.39,41.7,49
19:01:48,50.1,16.53,8,11.39,41.6,50
19:01:49,50.2,16.53,8,11.39,40.9,50
19:01:50,50.1,16.53,8,11.39,41.7,50
19:01:51,50.1,16.53,8,11.39,41.2,50
19:01:52,50.2,16.52,8,11.39,41.7,50
19:01:53,50.2,16.52,8,11.39,40.9,50
19:01:54,50.1,16.52,8,11.39,41.4,50
19:01:55,50.1,16.52,8,11.39,41.2,50
19:01:56,50.2,16.52,12,11.39,41.4,52
19:01:57,50.1,16.52,11,11.39,41.4,52
19:01:58,50.1,16.52,11,11.39,42.3,52
19:01:59,50.1,16.52,10,11.39,42.4,51
19:02:00,50.2,16.52,10,11.39,41.7,52
19:02:01,50.1,16.52,15,11.39,42.2,52
19:02:02,50.3,16.52,16,11.39,42.2,52
19:02:03,50.2,16.52,16,11.39,42.0,51
19:02:04,50.1,16.52,16,11.39,42.7,50
19:02:05,50.2,16.52,16,11.39,41.8,50
19:02:06,50.2,16.51,16,11.39,42.4,50
19:02:07,50.1,16.51,16,11.39,42.3,50
19:02:08,50.2,16.51,16,11.39,41.9,50
19:02:09,50.1,16.51,13,11.39,40.8,50
19:02:10,50.1,16.51,9,11.39,41.5,50
19:02:11,50.2,16.52,8,11.39,41.3,50
19:02:12,50.1,16.52,8,11.39,41.3,50
19:02:13,50.2,16.52,8,11.39,41.5,50
19:02:14,50.2,16.52,8,11.39,41.9,51
19:02:15,50.1,16.52,8,11.39,41.4,51
19:02:16,29.9,16.52,0,11.39,36.0,49
19:02:17,0.1,16.52,0,11.39,18.6,49
19:02:18,0.1,16.52,0,11.39,18.7,49
19:02:19,45.3,16.57,0,11.39,17.5,49
19:02:20,50.1,16.55,0,11.39,17.7,49
19:02:21,28.6,16.59,88,11.39,65.1,57
19:02:22,50.0,16.59,11,11.39,55.9,51
19:02:23,50.2,16.59,12,11.39,45.9,50
19:02:24,50.2,16.58,16,11.39,43.3,50
19:02:25,50.1,16.58,15,11.39,42.0,50
19:02:26,50.2,16.57,16,11.39,42.5,50
19:02:27,50.1,16.57,14,11.39,41.9,54
19:02:28,50.2,16.57,8,11.39,42.7,51
19:02:29,50.1,16.56,8,11.39,42.1,51
19:02:30,50.1,16.56,8,11.39,41.6,51
19:02:31,50.2,16.56,8,11.39,41.6,51
19:02:32,50.2,16.55,12,11.39,42.4,50
19:02:33,50.2,16.55,16,11.39,43.5,50
19:02:34,50.2,16.55,15,11.39,42.4,50
19:02:35,50.2,16.55,15,11.39,42.6,51
19:02:36,50.3,16.54,12,11.39,42.0,53
19:02:37,50.1,16.54,8,11.39,42.0,51
19:02:38,50.2,16.54,8,11.39,41.6,51
19:02:39,50.1,16.54,8,11.39,41.4,51
19:02:40,50.2,16.54,8,11.39,42.2,51
19:02:41,50.2,16.54,10,11.39,41.5,51
19:02:42,50.2,16.53,11,11.39,41.4,51
19:02:43,50.2,16.53,13,11.39,42.1,51
19:02:44,50.1,16.53,14,11.39,42.0,51
19:02:45,50.1,16.53,16,11.39,42.8,51
19:02:46,50.2,16.53,16,11.39,42.6,51
19:02:47,50.2,16.53,16,11.39,42.9,51
19:02:48,50.2,16.53,16,11.39,41.9,51
19:02:49,50.2,16.53,16,11.39,43.1,51
19:02:50,50.1,16.53,16,11.39,43.2,51
19:02:51,50.1,16.53,16,11.39,42.3,51
19:02:52,50.2,16.53,16,11.39,42.7,51
19:02:53,50.1,16.53,16,11.39,43.3,51
19:02:54,50.2,16.53,16,11.39,42.5,51
19:02:55,50.2,16.53,16,11.39,43.4,51
19:02:56,50.2,16.53,16,11.39,42.8,51
19:02:57,50.1,16.53,16,11.39,43.6,51
19:02:58,50.1,16.53,16,11.39,42.9,51
19:02:59,50.1,16.53,16,11.39,42.8,51
19:03:00,50.2,16.53,16,11.39,43.2,51
19:03:01,50.1,16.53,16,11.39,42.9,51
19:03:02,50.2,16.53,16,11.39,41.7,51
19:03:03,50.3,16.52,15,11.39,42.2,51
19:03:04,50.2,16.52,13,11.39,41.9,51
19:03:05,50.2,16.52,10,11.39,42.3,51
19:03:06,50.1,16.52,8,11.39,41.6,51
19:03:07,50.1,16.52,8,11.39,41.9,51
19:03:08,50.2,16.52,8,11.39,42.0,52
